Sao Paulo,Бразилия,78.40,71,18.8,0.76 ,Олигополия,2.75,1.7,877,https://translated.turbopages.org/proxy_u/en-ru.ru.870f35a2-62890897-af5bb118-74722d776562/https/en.wikipedia.org/wiki/Sao_Paulo_metro,
Cairo,Египт,77.90,64,11.9,0.14 ,Монополия,1.9,1.6,837,https://ru.frwiki.wiki/wiki/Métro_du_Caire,
Rio de Janeiro,Бразилия,55.50,42,11.8,0.77 ,Монополия,0.9,2.3,212,https://ru.wikipedia.org/wiki/Метрополитен_Рио-де-Жанейро,
Buenos Aires,Аргентина,53.90,86,12.8,0.24 ,Монополия,0.92,0,308,https://translated.turbopages.org/proxy_u/en-ru.ru.caedd6da-6289118a-741ac224-74722d776562/https/en.wikipedia.org/wiki/Buenos_Aires_Underground,
Barcelona,Испания,139.40,178,4.92,2.4,Олигополия,0.3,0.1,389,https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%80%D1%81%D0%B5%D0%BB%D0%BE%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D0%BC%D0%B5%D1%82%D1%80%D0%BE%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B5%D0%BD,
Saint Petersburg,Россия,113.50,67,4.55,0.93,Монополия,0.3,0.6,786,https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D1%81%D0%BA%D0%B8%D0%B9_%D0%BC%D0%B5%D1%82%D1%80%D0%BE%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B5%D0%BD,
Chengdu,Китай,179.10,138,4.12,1,Монополия,5,5.67,103,https://en.wikipedia.org/wiki/Chengdu_Metro,
Hong Kong,Китай,197.40,113,7.21,0.48,Олигополия,1.5,2.2,1.444,https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D0%BD%D0%BA%D0%BE%D0%BD%D0%B3%D1%81%D0%BA%D0%B8%D0%B9_%D0%BC%D0%B5%D1%82%D1%80%D0%BE%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B5%D0%BD,
Tehran,Иран,215.10,117,7.87,0.19,Монополия,5.5,5.75,480,https://en.wikipedia.org/wiki/Tehran_Metro,
Wuhan,Китай,239.70,167,7.24,0.32,Монополия,16,24,73,https://en.wikipedia.org/wiki/Wuhan_Metro,
